Organizations,slogan,tech,topic,website,descripton,link,ideas
Fortran-lang,High-performance parallel programming language,"python, c++, fortran","compilers, programming languages, build systems, libraries, Fortran",https://fortran-lang.org,"High-performance parallel programming language
Fortran-lang is an open-source community that develops tools and libraries for modern Fortran development. Our flagship projects include the standard library, Fortran build system and package manager, as well as the interactive compiler, LFortran. Fortran-lang also provides an inclusive and welcoming space for all Fortran enthusiasts around the world to collaborate.",https://github.com/fortran-lang/webpage/wiki/GSoC-2025-Contributor-Instructions,https://github.com/fortran-lang/webpage/wiki/GSoC-2025-Project-ideas
FOSSASIA,Free and Open Source Software in Asia,"c, python, javascript, django, android","web, hardware, event solutions, android, firmware",https://fossasia.org,"Free and Open Source Software in Asia
FOSSASIA is an organization developing Open Source software applications and Open Hardware together with a global community from its base in Asia. It is our goal to provide access to open technologies, science applications and knowledge that improve people's lives. We want to enable people to adapt and change technology according to their own ideas and needs and validate science and knowledge through an Open Access approach. FOSSASIA was established 2009 by Hong Phuc Dang and Mario Behling. We organize and participate in conferences, meetups and code camps. The annual FOSSASIA Summit is one of the top tech events in Asia. Other summits take place in Vietnam, Cambodia, Thailand and India. FOSSASIA also runs a number of coding programs such as Codeheat. Please join us and start contributing to our projects, participate as a coder, designer, hardware developer or event organizer.",https://fossasia.org,https://docs.google.com/document/d/1Tz1KxYefreKzBr98C4vbCv9UwnchZoyTwO8rBrz_lmg/edit?tab=t.0#heading=h.9sjk3ie7l2o2
FOSSology,Open Source License Compliance by OSS,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",https://fossology.org,"Open Source License Compliance by OSS
FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web UI are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",https://fossology.org,https://fossology.github.io/gsoc/docs/2025/GSoC-projects/
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,"verilog, vhdl, risc-v, compiler","hardware, debug, simulation, electronic design tools",https://www.fossi-foundation.org,"Working together for Free and Open Source Silicon
The FOSSi (Free and Open Source Silicon) Foundation is a not-for-profit organization with the support the growing community of open source silicon hardware. We do this with a variety of activities and through Google Summer of Code we bring together enthusiastic mentees and outstanding projects. Under our umbrella are open source silicon hardware projects, operating systems and compilers for such projects, tools for electronic design automation and the related ecosystem.",https://www.fossi-foundation.org/gsoc,https://fossi-foundation.org/gsoc/gsoc25-ideas
FreeCAD,Cross-platform 3D parametric modeler,"python, c++, qt, OpenCASCADE, OpenInventor","engineering, graphics, cad, 3d, architecture, BIM, CAM",https://freecad.org,"Cross-platform 3D parametric modeler
FreeCAD is a general-purpose parametric 3D computer-aided design (CAD) modeler and a building information modeling (BIM) software application with finite element method (FEM) support. It is intended for mechanical engineering product design but also expands to a wider range of uses around engineering, such as architecture or electrical engineering. FreeCAD is free and open-source, under the LGPL-2.0-or-later license, and available for Linux, macOS, and Windows operating systems. Users can extend the functionality of the software using the Python programming language.",https://wiki.freecad.org/GSoC_Checklist,https://wiki.freecad.org/Google_Summer_of_Code_2025
freifunk,Free and open wireless networks,"c, python, javascript, rust, openwrt","security, embedded systems, routing, wireless networks, federation",https://freifunk.net/en,"Free and open wireless networks
We unite wireless communities accross Europe like Freifunk, Ninux, qaul.net, Guifi.net, and Evernet e.G. Our communities either build decentralized wireless networks based on embedded networking hardware or extensively rely on FOSS components such as OpenWRT Linux, OLSR, BATMAN, Babel mesh routing daemons, libremesh, or retroshare applications. The contributions are made by individuals as well as local groups which are highly motivated to build open and free wireless networks providing Internet access to everybody. Moreover, we also create solutions that allow anonymous and secure communication. The majority of our networks devices are based on affordable, off-the-shelf WiFi home routers. The Freifunk operating system extends the OpenWrt Linux OS by new kernel and driver features, additional software packages that enable for instance multi-hop wireless mesh networking and new P2P communication features.","https://projects.freifunk.net/#/faq
",https://projects.freifunk.net/#/projects
GeomScale,Scalable geometric and statistical software,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",https://geomscale.github.io,"Scalable geometric and statistical software
GeomScale is a research and development project that delivers open source code for state-of-the-art algorithms for problems at the intersection of data science, optimization, geometric, and statistical computing. The current focus of GeomScale is on scalable algorithms for sampling from high-dimensional distributions, integration, convex optimization, and their applications. One of our ambitions is to fill the gap between theory and practice by turning state-of-the-art theoretical tools in geometry and optimization to state-of-the-art implementations. Towards this goal, we will deliver various innovative solutions in a variety of application fields, like finance, computational biology, and statistics that will extend the limits of contemporary computational tools. GeomScale aims in serving as a building block for an international, interdisciplinary, and open community in high dimensional geometrical and statistical computing. The main development is currently performed in volesti, a generic open source C++ library, with R and python interfaces (the latter is hosted in package dingo), for high-dimensional sampling, volume approximation, and copula estimation for financial modelling. In particular, the current implementation scales up to hundred or thousand dimensions, depending on the problem. To our knowledge it is the most efficient software package for sampling and volume computation to date. It is, in several cases, orders of magnitude faster compared to packages that solve the same problems. It can be used to compute challenging multivariate integrals and to approximate optimal solutions in optimization problems. It has already found important applications in systems biology by analyzing large metabolic networks (e.g., the latest human network) and in FinTech by detecting shock events and by evaluating portfolios performance in stock markets with thousands of assets. Other application areas include AI and in particular approximate weighted model integration. Recent studies has shown a potential application of volesti methods in trustworthy AI, static analysis of programs and differential privacy.",https://github.com/GeomScale/gsoc25/wiki,https://github.com/GeomScale/gsoc25/wiki/table-of-proposed-coding-projects
Git,"Fast,Scalable,Distributed revision control system","shell script, git, c language","version control, dvcs",https://git-scm.com/,"Fast,Scalable,Distributed revision control system
Git is the most widely-used revision control system in Open Source. It is a distributed system with an emphasis on speed, data integrity, and support for distributed, non-linear workflows. Many large and successful projects use Git, including the Linux Kernel, Perl, Eclipse, Gnome, KDE, Qt, Ruby on Rails, Android, PostgreSQL, Debian, and X.org. This organization covers projects for Git itself. Other git-based software or services are not covered by this organization.",https://git.github.io/General-Application-Information/,https://git.github.io/SoC-2025-Ideas/
GitLab,Everyone can contribute,"javascript, ruby on rails, go, ruby, vue","cloud, ai, devops, git, DevSecOps",https://about.gitlab.com/community/,"Everyone can contribute
Join GitLab's vibrant open source community and help shape the future of DevOps! As a leading DevOps platform, we're committed to making software development accessible to everyone. Whether you're an experienced developer or just starting your open source journey, your contributions – from code and documentation to translations and UX improvements – can impact millions of developers worldwide. Our friendly maintainers are always ready to mentor newcomers, and we've marked plenty of beginner-friendly tasks with ""quick-win"" labels. At GitLab, we believe in collaboration, transparency, and continuous improvement, building everything in the open and sharing with our community. Come be part of our mission to make software development better for everyone.",https://contributors.gitlab.com,https://gitlab.com/gitlab-org/developer-relations/contributor-success/google-summer-of-code-2025/-/issues
GNOME Foundation,A diverse and sustainable free software desktop.,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",https://gnome.org,"A diverse and sustainable free software desktop.
The GNOME Foundation is a non-profit organization that believes in a world where everyone is empowered by technology they can trust. We do this by building a diverse and sustainable free software personal computing ecosystem.",https://gsoc.gnome.org,https://gsoc.gnome.org/2025/
GNSS-SDR,An open source GNSS software-defined receiver,"c, c++, sdr","gnss, geolocation, navigation, software defined radio, communications",https://gnss-sdr.org/,"An open source GNSS software-defined receiver
GNSS-SDR is an open source Global Navigation Satellite Systems software receiver, written in C++, that is able to work either from raw signal samples stored in a file, or in real-time with a radio-frequency front-end as signal source, and performs all the signal processing until the observable computation and Position-Velocity-Time solution. Its modularity allows users to populate the framework with their own algorithms, allowing to put the focus on the signal processing implementation without worrying about how to embed that algorithm in a whole GNSS receiver. It also makes possible fair performance benchmarks using real GNSS signals, and its open source license allows free downloading, use and code inspection. The proposed software receiver targets multi-constellation/multi-frequency architectures, pursuing the goals of efficiency, modularity, interoperability, and flexibility demanded by user domains that require non-standard features, such as earth observers or geodesists, and allowing applications such as the observation of the ionosphere, GNSS reflectometry, signal quality monitoring, space weather, and high-accuracy positioning based on carrier-phase navigation techniques. In this project, we focus on signal processing, understood as the process between the ADC and the computation of code and phase observables, including the demodulation of the navigation message. We purposely omit data processing, understood as the computation of the navigation solution from the observables and the navigation message, since there are a number of well-established libraries and applications for that (also in the open source side, such as GPSTk or RTKLIB).",https://gnss-sdr.org/contribute/,https://gnss-sdr.org/google-summer-code-2025-ideas-list/
GNU Compiler Collection,GNU compilers,"c/c++, gnu make, gnu autotools","compilers, developer tools, toolchain, openmp, link time optimization",https://gcc.gnu.org/,"GNU compilers
The GNU Compiler Collection (GCC) is an optimizing compiler produced by the GNU Project supporting various programming languages, hardware architectures and operating systems. It includes front-ends for C, C++, D, Objective-C, Fortran, Ada, and Go, as well as libraries for these languages (such as libgcc and libstdc++). Modula-2, Rust, Cobol, and Algol 68 front-ends are under development too. GCC includes a Static Analyzer, and supports OpenMP, OpenACC with code offloading to Nvidia and AMD GPUs.",https://gcc.gnu.org/wiki/SummerOfCode,https://gcc.gnu.org/wiki/SummerOfCode
GNU Image Manipulation Program,GIMP is a cross-platform image editor,"c, GEGL","graphics, design, photography, illustration",https://www.gimp.org/,"GIMP is a cross-platform image editor
GIMP is a cross-platform image editor available for GNU/Linux, macOS, Windows and more operating systems. It is free software, you can change its source code and distribute your changes. Whether you are a graphic designer, photographer, illustrator, or scientist, GIMP provides you with sophisticated tools to get your job done. You can further enhance your productivity with GIMP thanks to many customization options and 3rd party plugins.",https://developer.gimp.org/core/internship/,https://developer.gimp.org/core/internship/ideas/
GNU Octave,Free Your Numbers,"c++, hg","mathematics, scientific computing, numerical computation, numerical methods, matlab",https://www.octave.org,"Free Your Numbers
GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable. Octave is continually being upgraded. Student projects may also involve developing or upgrading Octave Forge packages, which can be loaded to provide additional specialized functions that supplement those provided in Core Octave.",https://wiki.octave.org/Summer_of_Code_-_Getting_Started,https://wiki.octave.org/Summer_of_Code_-_Getting_Started#Suggested_projects
GNU Radio,The free & open software radio ecosystem,"python, c++, qt, simd","real-time, dsp, communications engineering, cybersecurity, Software-Defined Radio",https://www.gnuradio.org,"The free & open software radio ecosystem
GNU Radio is a free & open-source software development toolkit that provides signal processing blocks to implement software radios. It can be used with readily-available low-cost external RF hardware to create software-defined radios, or without hardware in a simulation-like environment. It is widely used in research, industry, academia, government, and hobbyist environments to support both wireless communications research and real-world radio systems. In brief, a software radio is a radio system which performs the required signal processing in software instead of using dedicated integrated circuits in hardware. The benefit is that since software can be easily replaced in the radio system, the same hardware can be used to create many kinds of radios for many different communications standards; thus, one software radio can be used for a variety of applications! You can use GNU Radio to write applications to receive and transmit data with radio hardware, or to create entirely simulation-based applications. GNU Radio has filters, channel codes, synchronization elements, equalizers, demodulators, vocoders, decoders, and many other types of blocks which are typically found in signal processing systems. More importantly, it includes a method of connecting these blocks and then manages how data is passed from one block to another. Extending GNU Radio is also quite easy; if you find a specific block that is missing, you can quickly create and add it. GNU Radio applications can be written in either C++ or Python, while the performance-critical signal processing path is implemented in C++ using processor floating-point extensions where available. This enables the developer to implement real-time, high-throughput radio systems in a simple-to-use, rapid-application-development environment.",https://www.gnuradio.org/gsoc/,https://wiki.gnuradio.org/index.php?title=GSoCIdeas
Google DeepMind,Google DeepMind's open-source projects,"python, javascript, typescript, Jax, Gemma","python, Jax, AI,, Gemma",https://github.com/google-deepmind,"Google DeepMind's open-source projects
Google DeepMind is a leading AI research organization committed to solving intelligence and using it to advance science and benefit humanity. We develop cutting-edge machine learning models and techniques, pushing the boundaries of AI across various domains. Our open-source projects, such as JAX (for high-performance numerical computing and machine learning) and Gemma (our open family of models), empower the wider research community. We are dedicated to open science, collaboration, and fostering the next generation of AI talent.",https://github.com/google-deepmind,https://gist.github.com/dynamicwebpaige/92f7739ad69d2863ac7e2032fe52fbad
gprMax,Simulating electromagnetic wave propagation,"python, cuda, openmp, mpi, opencl","science, engineering, geophysics, electromagnetics, ground penetrating radar",https://www.gprmax.com,"Simulating electromagnetic wave propagation
gprMax is open source software that simulates electromagnetic wave propagation. It uses Yee's algorithm to solve Maxwell’s equations in 3D using the Finite-Difference Time-Domain (FDTD) method. It is designed for simulating Ground Penetrating Radar (GPR) and is used to model electromagnetic wave propagation in fields such as engineering, geophysics, archaeology, and medicine. There are a wide range of applications from assessing infrastructure such as bridges and roads, locating buried utilities, mapping glaciers, finding anti-personnel landmines, to detecting tumours in the human body, and exploring the sub-surface of Mars and the Moon. gprMax is command-line-driven software written in Python with performance-critical parts written in Cython. It does not currently feature a graphical user interface (GUI) which allows it to be very flexible and scriptable software that can run in high-performance computing (HPC) environments, i.e. on supercomputers. gprMax can be run on either CPU or GPU. The CPU solver has been parallelised using OpenMP which enables it to run on multi-core CPUs. The GPU solver has been developed using the NVIDIA CUDA programming model. gprMax also features a Messaging Passing Interface (MPI) task farm, which can operate with CPU nodes or multiple GPUs.",https://github.com/gprMax/GSoC/blob/main/project-template.md,https://github.com/gprMax/GSoC/blob/main/project-ideas-2025.md
GRAME,Domain specific language for audio,"c, javascript, c++, rust, typescript","audio, compiler, digital signal processing, function programming language",https://faust.grame.fr,"Domain specific language for audio
Faust (Functional Audio Stream) is a functional programming language for sound synthesis and audio processing with a strong focus on the design of synthesizers, musical instruments, audio effects, etc. Faust targets high-performance signal processing applications and audio plug-ins for a variety of platforms and standards.",https://github.com/grame-cncm/faustideas,https://github.com/grame-cncm/faustideas
Graphite,"Editor, graphics engine, & compiler for art/design","machine learning, rust, vulkan, ai, webgpu","compilers, programming languages, graphics, computational geometry, fonts",https://graphite.rs,"Editor, graphics engine, & compiler for art/design
Graphite is an in-development raster and vector graphics editing suite that's free and open source. It is powered by a node graph compositing engine that fuses layers with nodes, bringing a generative, procedural approach to the workflows of artists, designers, and animators ranging from students and hobbyists to creative professionals and studios. The node-based compositing engine is built similar to a game engine. It is both a real time render pipeline and a visual programming language, complete with a custom compiler letting artists export dynamic content to other applications. Over time, Graphite intends to evolve into the ""everything app"" across all the common 2D creative disciplines— a versatile creation suite for graphic design, photo manipulation, digital painting, motion graphics, desktop publishing, and generative art (both procedural and AI-powered). The four-year-old project is being rapidly developed by a global team of volunteers, composed mostly of students, who are passionate about crafting high-quality code that will transform and democratize the broader 2D creative industry. The mission of Graphite strives to unshackle the creativity of every budding artist and seasoned professional by building the best comprehensive art and design tool that's accessible to all. Mission success will come when Graphite is an industry standard. A cohesive product vision and focus on innovation over imitation is the strategy that will make that possible.",https://graphite.rs/volunteer/guide/student-projects/,https://graphite.rs/volunteer/guide/student-projects/
Haskell,Purely functional programming language,"haskell, ghc","compilers, programming languages, functional programming, programming tools",https://haskell.org/,"Purely functional programming language
Haskell is an advanced, general-purpose, purely functional programming language. It has a strong, static type system with Hindley-Milner type inference. The language natively supports lazy evaluation, and lets you track side effects in the type system. This leads to a concise and declarative style of programming, which differs quite a bit from conventional languages. By controlling side effects and working with immutable data, the programmer can avoid whole classes of bugs. Haskell generally compiles to fast, native code, but it can also be compiled to other targets like JavaScript (through GHCJS) or LLVM. In Google Summer of Code, we attempt to improve not only the language, but the whole ecosystem. This includes (aside from the language itself): - Compilers - Commonly used libraries - Commonly used applications written in Haskell - Profilers, debuggers and other tools - Package managers and infrastructure We have compiled an ideas list together with long-time Haskell users, compiler contributors and researchers, and as such we believe these are important projects for the industry and academia both.",https://summer.haskell.org/tips.html,https://summer.haskell.org/ideas.html
HumanAI,AI for the Arts and the Humanities,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, artificial intelligence, ai, Arts, Humanities",http://humanai.foundation,"AI for the Arts and the Humanities
Machine learning and Artificial Intelligence techniques can be broadly applicable and transferable across many domains. The goals of HumanAI projects are to grow the open-source community in machine learning for the domains of the Arts, Social Sciences and Humanities in addressing various important societal challenges and introducing and transferring the knowledge and tools of machine learning across these disciplines.",http://humanai.foundation,https://humanai.foundation/
INCF,An open & FAIR neuroscience standards organization,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",https://www.incf.org,"An open & FAIR neuroscience standards organization
The International Neuroinformatics Coordinating Facility (INCF; www.incf.org) is an international organization launched in 2005, following a proposal from the Global Science Forum of the OECD. INCF was established to facilitate and promote the sharing of data and computing resources in the international neuroscience community. A larger objective of INCF is to help develop scalable, portable, and extensible applications that can be used by neuroscience laboratories worldwide. The mission of INCF is to make neuroscience FAIR (Findable, Accessible, Interoperable and Reusable) by sharing and integrating neuroscience data and knowledge worldwide. We foster scientific community collaboration to develop standards for data sharing, analysis modeling and simulation in order to catalyze insights into brain function in health and disease. INCF activities are open to all who can contribute to neuroinformatics at the international level. We have a global community of neuroscience researchers working on new and improved tools for all of neuroscience – enabling other researchers to make more and faster discoveries, and improving our understanding of the brain.",https://docs.google.com/document/d/16H8MlUl_0EbhL1IC4ddRZKYeMAd9JtAHCuxY5piZOGc/,https://docs.google.com/document/d/1T7U4nYFbVbZuIUw_2bB89YASj-ra26hRNtG2a20Gjlw/edit?tab=t.0
Inkscape,Draw freely!,"python, c++, svg","web, graphics, design",https://inkscape.org,"Draw freely!
Inkscape is a free and open-source vector graphics editor used to create vector images, primarily in Scalable Vector Graphics (SVG) format",https://gitlab.com/inkscape/inkscape/-/blob/master/doc/gsoc/summerofcode.md,https://gitlab.com/inkscape/inkscape/-/blob/master/doc/gsoc/summerofcode.md
International Catrobat Association,Free visual coding apps for computational thinking,"javascript, swift, kotlin, php, flutter","education, visual programming, mobile programming, game engines, creativity tools",https://www.catrobat.org,"Free visual coding apps for computational thinking
Computational thinking for all with free visual coding apps The Catrobat project develops useful frameworks to create games, animations, or apps easily within a short time. This set of mobile creativity tools for smartphones is inspired by the well-known Scratch framework by the Lifelong Kindergarten Group at the MIT Media Lab. The motivation behind the project is that programming is an important cultural technique on the same level as mathematics and physics, from a practical as well as from a philosophical point of view. Our aim thus is to popularize the skills needed to program from an early age in a fun and engaging way that will facilitate the spread of its adoption among young people all over the world. Our awarded Android app “Pocket Code” is currently the most famous outcome of the project. Without the need for any further devices, users have the possibility to create their first program directly on their mobile device in just a few steps using visual ""Bricks"". Pocket Code supports all common device sensors, provides special ""Bricks"" for different robotic devices (Lego Mindstorms, Robotix Phiro, etc.) as well as for hardware devices such as the Arduino board or the Raspberry Pi, and of course offers elements of programming languages such as variables, if-statements, concurrency, etc. We also work on ""Pocket Code"" for iOS and on a large number of extensions. That’s why developers of different fields help us to keep our products up-to-date to meet the current needs of our users. Motivated by prizes (such as the Lovie Award, the Austrian National Innovation Award or the Re-Imagine Education Award) and being featured by different programs (like Google Play for Education or code.org), our team is working on many different subprojects and extensions. Over 500 developers already contributed to our project on different topics such as app development, web technologies, graphics, usability, internationalization, or design.",https://docs.google.com/document/d/1vOGY2C80raXLV6RVRHXoqiAhcnBJFeZdU8wqMm-Rgo0/edit?usp=sharing,https://developer.catrobat.org/pages/development/google-summer-of-code/2025/
Internet Archive,Universal Access to All Knowledge,"python, javascript, go, elasticsearch, hadoop","library, media, archiving",http://archive.org,"Universal Access to All Knowledge
The Internet Archive is a non-profit digital library. We are the home of the Wayback Machine.",http://archive.org,https://docs.google.com/document/d/1oHNwPNYmHV5q3puBfv6IQFs-4gTe9XLN2iz2Lgse-1k/edit?tab=t.0#heading=h.mn497pr3rien
Internet Health Report,Monitoring the Internet,"python, javascript, apache kafka, VueJS","networking, routing, communication, internet, data analytics",https://ihr.iijlab.net,"Monitoring the Internet
The Internet Health Report monitors the conditions of networks that compose the Internet. It aims to provide network operators, policymakers, and other stakeholders, with a better understanding of the Internet's infrastructure and its evolution.",https://github.com/InternetHealthReport/gsoc/blob/main/contributor-guidance.md,https://github.com/InternetHealthReport/gsoc/blob/main/ideas.md
Invesalius,3D Medical visualization and neuronavigation tool,"python, cython, numpy, dicom, Vtk","ehealth, medical imaging, 3D Reconstruction, 3d printing, Neuronavigation",https://invesalius.github.io/,"3D Medical visualization and neuronavigation tool
InVesalius is an Open Source organization that works developing free software for reconstruction of computed tomography and magnetic resonance images. The software is mainly used for rapid prototyping, teaching, forensics, and in the medical field. It is possible to use it on the Microsoft Windows, GNU/Linux and Apple Mac OS X platforms. InVesalius main software started began their development on 2001 by Centro de Tecnologia da Informação Renato Archer (CTI), in Brazil, later it was released under GNU license and more practitioners joins the organization to improve their development. At that time, there was no medical image software in Portuguese that fulfilled the Brazilian hospitals and clinics needs. Therefore, InVesalius came as a proposal of development with the aim to be a medical software image analysis with null acquisition cost, capability of execution on low-cost personal computers and the capability of execution on different operating systems and act as a platform to encourage the use and development of medical images in Brazil.",https://github.com/invesalius/gsoc/blob/main/gsoc_application.md,https://github.com/invesalius/gsoc/blob/main/gsoc_2025_ideas.md
IOOS,"Our eyes on the ocean, coasts, and Great Lakes","python, java, r, Zarr, NetCDF","open data, open science, data management, Oceanography, Marine Biodiversity",https://ioos.noaa.gov/,"Our eyes on the ocean, coasts, and Great Lakes
IOOS is our eyes on the ocean, coasts, and Great Lakes. We are an integrated network of people and technology gathering observing data and developing tracking and predictive tools to benefit the economy, the environment, and public safety at home, across the nation, and around the globe.",https://github.com/ioos/gsoc/blob/main/contributor-guidance.md,https://github.com/ioos/gsoc/blob/main/2025/ideas-list.md
JabRef,Stay on top of your Literature,"java, javafx, ai, bibtex","science, library, literature, latex, bibliography",https://www.jabref.org/,"Stay on top of your Literature
JabRef is one of the most widely used citation and reference management tools. It helps students and researchers to stay on top of their literature by assisting at every step of a research project: collecting and organizing literature sources, discovering the latest research, citing references in LaTeX and other text editors, and sharing interesting papers with collaborators. JabRef is open-source and cross-platform. It is written in Java using JavaFX as the user interface technology. It is licensed under the MIT license. Since 2020 JabRef is maintained by the non-profit organization JabRef e.V.",https://github.com/JabRef/jabref/wiki/GSOC-Application,https://github.com/JabRef/jabref/wiki/GSoC-2025-ideas-list
JAX and Keras,Python libraries for large-scale machine learning,"python, machine learning, ai","machine learning, Jax, keras, PYTHON LIBRARY",https://docs.jax.dev/,"Python libraries for large-scale machine learning
This organization has projects for JAX and Keras, two great machine learning libraries. JAX is a Python library built for high-performance machine-learning research that leverages the familiarity of NumPy with the power of hardware acceleration on CPUs, GPUs, and TPUs. Keras is a user-friendly and powerful deep learning API written in Python and capable of running on top of either JAX, TensorFlow, or PyTorch",https://forms.gle/yJaBBLJfqTJfWfyt6,https://docs.google.com/document/d/16uAZEldrXUBHjrszSO22Hr81OmVSjzVXza0szZl6Fxw/edit?tab=t.0#heading=h.3q2ax4jpmeaa
JdeRobot,Toolkit for developing Robotics applications,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",http://jderobot.github.io,"Toolkit for developing Robotics applications
Robotics applications are typically distributed, made up of a collection of concurrent asynchronous components which communicate using some middleware (ROS messages, DDS...). Building robotics applications is a complex task. Integrating existing nodes or libraries that provide already solved functionality, and using several tools may increase the software robustness and shorten the development time. JdeRobot provides several tools, libraries and reusable nodes. They have been written in C++, Python or JavaScript. Our community mainly works on four development areas: 1.- Education in Robotics * RoboticsAcademy (https://jderobot.github.io/RoboticsAcademy/): a ROS-based framework to learn robotics and computer vision with drones, autonomous cars.... It is a collection of Python programmed exercises for engineering students. * Unibotics: a web based framework for teaching robotics. 2.- Robot Programming Tools * VisualCircuit (https://jderobot.github.io/VisualCircuit/) for robot programming with connected blocks, as in electronic circuits, in a visual way * VisualStates for robot programming with Finite State Machines in a visual way * WebSim2D robot simulator with web technologies 3.- MachineLearning in Robotics * DeepLearningSuite: neural networks for robot control. It includes the BehaviorMetrics tool for assessment of neural networks for autonomous driving * RL-Studio: Robotic library for the training of Reinforcement Learning algorithms * DetectionMetrics tool for evaluation of visual detection neural networks and algorithms 4.- FPGAs in Robotics * FPGA-robotics (https://github.com/JdeRobot/FPGA-robotics): programming robots with reconfigurable computing (FPGAs) using open tools as IceStudio and Symbiflow. Verilog-based reusable blocks for robotics applications. * NeuralFPGA: running deeplearning networks on FPGAs",https://jderobot.github.io/activities/gsoc/2025#application-instructions-for-gsoc-2025,https://jderobot.github.io/activities/gsoc/2025#ideas-list
Jenkins,"Jenkins, build great things at any scale","javascript, java, go, docker, kubernetes","developer tools, automation, continuous integration, continuous delivery, devops",https://jenkins.io,"Jenkins, build great things at any scale
Short description: Jenkins is a popular open source automation server which is used for building, testing, CI/CD, deployment and many other use-cases. Our motto is ""Build great things at any scale"". Long description: Jenkins, originally founded in 2006 as ""Hudson"", is one of the leading automation servers. Jenkins' motto is ""Build great things at any scale"". Using an extensible, plugin-based architecture, developers have created hundreds of plugins to adapt Jenkins to a multitude of build, test, and deployment automation workloads. As Jenkins is open-source, MIT License is used for most of the components. This year we invite potential GSoC contributors to join the Jenkins community and to work together to improve Jenkins. We have many strategic project ideas which are important to potentially hundreds of thousands of Jenkins users. The project has over 600 active contributors working on Jenkins core, plugins, website, project infrastructure, localization activities, etc. In total we have more than 2,000 components including plugins, libraries, and various utilities. The main languages in the project are Java, Groovy and JavaScript, but we also have components written in other languages (Go, C/C++, C#, etc.). Jenkins project includes multiple sub-projects (including Configuration-as-Code, Infrastructure and Remoting) and special interest groups. These entities participate in GSoC as a part of the Jenkins project. The Jenkins project is a part of Continuous Delivery Foundation (CDF).",https://www.jenkins.io/projects/gsoc/contributors,https://www.jenkins.io/projects/gsoc/2025/project-ideas/
Jitsi,State-of-the-art video conferencing,"javascript, java, react, kotlin, webrtc","video, multimedia, video conferencing, WebRTC",https://jitsi.org,"State-of-the-art video conferencing
Jitsi is a set of Open Source projects which empower users to deploy secure, scalable and easy to use video conferencing platforms with state-of-the-art video quality and features.",https://jitsi.github.io/handbook/docs/dev-guide/dev-guide-contributing,https://github.com/jitsi/gsoc-ideas/blob/master/2025/README.md
Joomla!,The flexible platform empowering website creators.,"mysql, javascript, html, php, css","web, programming languages, web development, web applications, cms",https://www.joomla.org/,"The flexible platform empowering website creators.
The Joomla CMS is a PHP based application that powers about 2.2% of the web, 3.5% of all CMS based websites, as well as many intranets. Joomla has been downloaded over 119 Million times:https://downloads.joomla.org// The Joomla project has hundreds of contributors, organized in a set of working groups and teams, and a leadership group. These are coordinated by the [Departments](https://volunteers.joomla.org/departments/ ""Joomla Departments""). Joomla is a community driven FOSS project developed and maintained by an international community encompassing over 150 countries. Joomla is used by millions of websites and web applications ranging from the hobbyist, professional web developer, to large enterprises, for both the World Wide Web and intranets. Joomla is available in 76 languages with an active and dedicated translation team https://community.joomla.org/translations/joomla-3-translations.html The Joomla Project is a community effort which strives to engage contributors from diverse backgrounds and varying interests and skills in building and supporting great software together. The [mission, vision and values](https://www.joomla.org/about-joomla/the-project/mission-vision-and-values.html ""Joomla Mission vision and values"") of the Joomla Project reflect this. The official umbrella organisation is Open Source Matters (OSM), the not for profit organization that manages financial and legal issues for the Joomla Project. A team of experienced people drawn from many areas of the project will manage the 2025 GSoC project for Joomla.",https://docs.joomla.org/GSoC_2025,https://docs.joomla.org/GSoC_2025_Project_Ideas
JSON Schema,We enable the reliable use of JSON data format.,"python, javascript, typescript, .net, JSON Schema","web, apis, standards, data validation, developer tooling",https://json-schema.org/,"We enable the reliable use of JSON data format.
JSON Schema is a vocabulary that allows you to annotate and validate JSON documents We are a community JSON Schema enthusiast dedicated to maintain, evolve and promote the JSON Schema specification. The Community consists of individuals, community members, tooling builders, schema designers, researchers, and representatives from companies and organizations who use or are considering using JSON Schema.",https://github.com/json-schema-org/community/blob/main/programs/mentoring/gsoc/CONTRIBUTOR-GUIDANCE.md,https://github.com/json-schema-org/community/blob/main/programs/mentoring/gsoc/gsoc-2025.md
